"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
102001,2019-06-30,"United States",,0,227700,0.000879120879120879,0.000439367311072056,0.0522181146025878,0.0628267264546862,0.0316127437321121,"2019-06","2019-Q2",227700,0,"2019-06"
394913,2019-06-30,"New York, NY","NY",1,443000,-0.00112739571589628,-0.00202748366749268,0.0357727379003975,0.0448153789659698,0.0171571653786375,"2006-07","2006-Q3",452800,-0.021643109540636,"2006-02"
753899,2019-06-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,649600,-0.000922792986773301,-0.00398650720637841,0.00853904673187393,0.0554383438377009,0.0458016634580758,"2019-01","2019-Q1",654900,-0.00809283860131318,"2018-10"
394463,2019-06-30,"Chicago, IL","IL",3,224900,-0.00354452813469207,-0.00706401766004415,0.0204174228675136,0.0457790890340244,0.00871871726748186,"2007-02","2007-Q1",254100,-0.11491538764266,"2004-12"
394514,2019-06-30,"Dallas-Fort Worth, TX","TX",4,242900,0,-0.00776143790849673,0.0556279878313777,0.100177737255678,0.0539677141770172,"2019-03","2019-Q1",244800,-0.00776143790849673,"2019-01"
394974,2019-06-30,"Philadelphia, PA","PA",5,233000,-0.000429000429000429,-0.00597269624573379,0.0241758241758242,0.0379582622006547,0.0084954086980995,"2007-04","2007-Q2",237300,-0.0181205225453013,"2006-04"
394692,2019-06-30,"Houston, TX","TX",6,205700,0.00097323600973236,-0.00339147286821705,0.0341880341880342,0.0687803346623199,0.0390050587349549,"2019-02","2019-Q1",206500,-0.00387409200968523,"2019-01"
395209,2019-06-30,"Washington, DC","DC",7,407200,-0.00196078431372549,-0.00415749572022499,0.0202956652468053,0.0277593096705275,0.0234039317586148,"2006-04","2006-Q2",435400,-0.0647680293982545,"2005-06"
394856,2019-06-30,"Miami-Fort Lauderdale, FL","FL",8,282700,-0.00176553672316384,-0.011883956658511,0.0321285140562249,0.0958297674987845,0.0553840229733309,"2006-09","2006-Q3",311600,-0.0927471116816431,"2005-11"
394347,2019-06-30,"Atlanta, GA","GA",9,219700,-0.000909504320145521,-0.00453103760761214,0.0759059745347698,0.0845705211329728,0.0356330702685064,"2019-03","2019-Q1",220700,-0.00453103760761214,"2019-02"
394404,2019-06-30,"Boston, MA","MA",10,464400,-0.00193423597678917,-0.0127551020408163,0.0267521556489056,0.0565078467225146,0.0389884119638568,"2019-02","2019-Q1",470700,-0.0133843212237094,"2018-12"
395057,2019-06-30,"San Francisco, CA","CA",11,942800,-0.00222245740289978,-0.0107030430220357,0.000212179079142796,0.0707987486265167,0.0609621086229009,"2018-11","2018-Q4",963400,-0.0213826032800498,"2018-07"
394532,2019-06-30,"Detroit, MI","MI",12,163100,0.00184275184275184,0.00245851259987707,0.0577172503242542,0.089187043745073,0.0530139195849211,"2019-06","2019-Q2",163100,0,"2019-06"
395025,2019-06-30,"Riverside, CA","CA",13,370900,-0.000538938291565616,0.00189086980010805,0.0374825174825175,0.067386467456376,0.0604147513366529,"2006-07","2006-Q3",409800,-0.0949243533430942,"2005-07"
394976,2019-06-30,"Phoenix, AZ","AZ",14,267200,0,0.000749063670411985,0.0494893951296151,0.0706864285210591,0.0499600799554543,"2006-05","2006-Q2",284000,-0.0591549295774648,"2005-11"
395078,2019-06-30,"Seattle, WA","WA",15,489400,-0.00346161677866015,-0.0119119725418938,0.00410340582683627,0.0928155432078423,0.0466180466788169,"2019-02","2019-Q1",496100,-0.0135053416649869,"2018-11"
394865,2019-06-30,"Minneapolis-St Paul, MN","MN",16,272000,0.000735835172921266,0.00110415899889584,0.0477657935285054,0.0602653610962713,0.0331535217807382,"2019-06","2019-Q2",272000,0,"2019-06"
395056,2019-06-30,"San Diego, CA","CA",17,590000,-0.0020297699594046,-0.00186093723566232,0.00992810681273536,0.056421622299043,0.0486211061482245,"2018-12","2018-Q4",594500,-0.00756938603868797,"2018-09"
395121,2019-06-30,"St. Louis, MO","MO",18,167200,0.00119760479041916,0.00119760479041916,0.0352941176470588,0.0457333852229114,0.0126838381797145,"2019-06","2019-Q2",167200,0,"2019-06"
395148,2019-06-30,"Tampa, FL","FL",19,215500,0.00232558139534884,-0.00231481481481481,0.0548213411649535,0.101003272779067,0.0463396209574196,"2006-08","2006-Q3",223500,-0.0357941834451902,"2006-04"
394358,2019-06-30,"Baltimore, MD","MD",20,267500,-0.00149309443822322,-0.00594574507617986,0.0109599395313681,0.0295077747454373,0.00674854232352429,"2007-01","2007-Q1",298500,-0.103852596314908,"2005-07"
394530,2019-06-30,"Denver, CO","CO",21,408000,-0.00195694716242661,-0.00657414170927684,0.0297829379101464,0.0912969751587736,0.0624145127742766,"2019-03","2019-Q1",410700,-0.00657414170927684,"2019-01"
394982,2019-06-30,"Pittsburgh, PA","PA",22,143600,0.00279329608938547,-0.00622837370242215,0.0191625266146203,0.0454212410225294,0.0276694063343454,"2019-02","2019-Q1",144900,-0.00897170462387854,"2018-11"
394998,2019-06-30,"Portland, OR","OR",23,395300,-0.00252334090335604,-0.00927318295739348,0.0143700282268412,0.084334652496741,0.0467169307490904,"2019-02","2019-Q1",399300,-0.0100175306786877,"2018-12"
394458,2019-06-30,"Charlotte, NC","NC",24,209800,0.00191021967526266,0.00238891543239369,0.0770020533880904,0.0798281652261237,0.0361420069978542,"2019-06","2019-Q2",209800,0,"2019-06"
395045,2019-06-30,"Sacramento, CA","CA",25,411000,-0.00194269062651773,-0.00194269062651773,0.0308502633559067,0.0672731531562776,0.046896033242388,"2005-12","2005-Q4",423300,-0.0290574060949681,"2005-06"
395055,2019-06-30,"San Antonio, TX","TX",26,194900,0.00257201646090535,0.00205655526992288,0.0518078791149487,0.0659816215798255,0.037326921084103,"2019-06","2019-Q2",194900,0,"2019-06"
394943,2019-06-30,"Orlando, FL","FL",27,240500,0.000415973377703827,-0.000830909846281678,0.0636886333480761,0.0893158039182957,0.0436363896100029,"2006-08","2006-Q3",265300,-0.0934790802864681,"2006-01"
394466,2019-06-30,"Cincinnati, OH","OH",28,170400,-0.000586510263929619,-0.00641399416909621,0.0636704119850187,0.0574098085627583,0.0249355018938404,"2019-03","2019-Q1",171500,-0.00641399416909621,"2019-02"
394475,2019-06-30,"Cleveland, OH","OH",29,146500,0.00205198358413133,-0.00407885791978246,0.0412224591329069,0.0465340274264003,0.0173899770540713,"2019-03","2019-Q1",147100,-0.00407885791978246,"2019-02"
394735,2019-06-30,"Kansas City, MO","MO",30,191800,-0.00104166666666667,-0.00827300930713547,0.055005500550055,0.059003077411238,0.0261244595118268,"2019-03","2019-Q1",193400,-0.00827300930713547,"2019-01"
394775,2019-06-30,"Las Vegas, NV","NV",31,278700,-0.00321888412017167,-0.00959488272921109,0.0609059763989341,0.0936909283204581,0.0560790909184392,"2006-06","2006-Q2",316800,-0.120265151515152,"2004-12"
394492,2019-06-30,"Columbus, OH","OH",32,193200,0.0015552099533437,-0.00155038759689922,0.0685840707964602,0.0650196037617983,0.0361886855157258,"2019-03","2019-Q1",193500,-0.00155038759689922,"2019-03"
394705,2019-06-30,"Indianapolis, IN","IN",33,166700,0.000600240096038415,-0.0011983223487118,0.0881201044386423,0.0665316135782887,0.0307005058729644,"2019-03","2019-Q1",166900,-0.0011983223487118,"2019-03"
395059,2019-06-30,"San Jose, CA","CA",34,1160800,-0.0118328083766068,-0.0420861528305001,-0.0824440755671488,0.0856433652312978,0.0728690985298257,"2018-10","2018-Q4",1271900,-0.0873496344052205,"2018-02"
394355,2019-06-30,"Austin, TX","TX",35,311800,0.00128452151573539,-0.000641025641025641,0.0498316498316498,0.0801077654806539,0.0499003019197162,"2019-03","2019-Q1",312000,-0.000641025641025641,"2019-03"
395194,2019-06-30,"Virginia Beach, VA","VA",36,229500,0.0004359197907585,-0.00433839479392625,0.0195468680586406,0.026364277081161,0.00305732317437202,"2007-07","2007-Q3",241800,-0.0508684863523573,"2006-03"
394902,2019-06-30,"Nashville, TN","TN",37,255500,0,-0.00622325943212758,0.0437091503267974,0.0977197459284882,0.0517939129126985,"2019-03","2019-Q1",257100,-0.00622325943212758,"2019-01"
395005,2019-06-30,"Providence, RI","RI",38,294900,0.0010183299389002,-0.0016926201760325,0.0383802816901408,0.0551292079038173,0.0230954854724221,"2005-10","2005-Q4",301700,-0.0225389459728207,"2005-03"
394862,2019-06-30,"Milwaukee, WI","WI",39,232700,-0.00128755364806867,-0.00257179597085298,0.0543724512913457,0.0541096126291905,0.0207484212694906,"2019-04","2019-Q2",233400,-0.00299914310197087,"2019-03"
394714,2019-06-30,"Jacksonville, FL","FL",40,213800,0.00140515222482436,-0.000934579439252337,0.060515873015873,0.084827185965658,0.0330849635731962,"2006-10","2006-Q4",214700,-0.00419189566837448,"2006-08"
394849,2019-06-30,"Memphis, TN","TN",41,140900,0.000710227272727273,0.000710227272727273,0.0641993957703928,0.0665397596665127,0.0253459882672238,"2019-06","2019-Q2",140900,0,"2019-06"
394935,2019-06-30,"Oklahoma City, OK","OK",42,147800,0.00271370420624152,0.00339443312966735,0.0364656381486676,0.0458873428918969,0.0256781447266361,"2019-06","2019-Q2",147800,0,"2019-06"
394807,2019-06-30,"Louisville-Jefferson County, KY","KY",43,163700,0.00244947948560931,0.00738461538461538,0.0574935400516796,0.0542477440251159,0.0275861037723468,"2019-06","2019-Q2",163700,0,"2019-06"
394669,2019-06-30,"Hartford, CT","CT",44,229400,-0.000871080139372822,-0.000871080139372822,0.00569925471284524,0.0116425848425716,-0.0027901783683848,"2007-03","2007-Q1",260200,-0.11837048424289,"2004-10"
395022,2019-06-30,"Richmond, VA","VA",45,231000,0.00216919739696312,0.00173460537727667,0.039136302294197,0.052800554643573,0.0170861416455479,"2019-06","2019-Q2",231000,0,"2019-06"
394910,2019-06-30,"New Orleans, LA","LA",46,175700,0.00630011454753723,0.00630011454753723,0.0250875145857643,0.0433632525288372,0.0185502011700698,"2018-11","2018-Q4",176600,-0.00509626274065685,"2018-10"
394425,2019-06-30,"Buffalo, NY","NY",47,160600,0.00312304809494066,0.00124688279301746,0.0442132639791938,0.0515662052766062,0.0334245411196139,"2019-06","2019-Q2",160600,0,"2019-06"
395012,2019-06-30,"Raleigh, NC","NC",48,268600,0.000745156482861401,0.00373692077727952,0.0574803149606299,0.059381651520813,0.0305497513071857,"2019-06","2019-Q2",268600,0,"2019-06"
394388,2019-06-30,"Birmingham, AL","AL",49,148100,0.00474898236092266,0.0109215017064846,0.0716353111432706,0.0397053305093167,0.0158091846728705,"2019-06","2019-Q2",148100,0,"2019-06"
395053,2019-06-30,"Salt Lake City, UT","UT",50,369500,0.00353068984247691,0.0109439124487004,0.0931952662721894,0.0894105883911789,0.0438784600264892,"2019-06","2019-Q2",369500,0,"2019-06"
395031,2019-06-30,"Rochester, NY","NY",51,148100,0.00406779661016949,0.0109215017064846,0.0563480741797432,0.0356590056704591,0.021177424411204,"2019-06","2019-Q2",148100,0,"2019-06"
394640,2019-06-30,"Grand Rapids, MI","MI",52,196300,0.00153061224489796,0.0102933607822954,0.0803522289488167,0.088437345236438,0.0498356176746313,"2019-06","2019-Q2",196300,0,"2019-06"
