RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
102001,United States,0,187900,184800,180600,176600,174800,173700,172800,171300,169200,166500,163600,162100,159300,155500,151500,150900,152800,155500,157300,158200,159600,161100,163300,163300,164100,161200,159200,155800,156300,157e3,158800,158100,158400,157700,157900,157e3,154600,152e3,149300,149e3,149600,149800,149300,148100,148200,149e3,148900,148500,148100,149300,151300,153300,155e3,156500,157300,158800,159900,162400,163100,163100,163300,165e3,167500,169300,171800,173700,174100,174400,173900,174600,173900,174900,175e3,175600,176e3,176900,178300,179800,181300,182e3,182100,182400,184e3,186100,188500,190200,191800,192400,193e3,192400,192600,191900,192200,194e3,195900,196600,195900,196200,197400,198900,199300,200300,201e3,203100,205200,206400,207500,208500,208800,209200,209100,210200,210700,211e3,212600,214300,217600,218700,221100,224500,227500,227900,225100,223900,222900,222400,221700,223300,226600,228900,231500,233500,235900,235800,235400,234400
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362200,362100,362200,363600,366e3,362700,357400,354100,353500,350100,34e4,328600,324900,322900,324600,324700,329400,332500,336300,335800,334300,333800,335900,337e3,335400,333500,33e4,331400,331e3,335100,337500,340800,348700,351800,354100,349600,348200,348e3,348300,348900,348500,351900,352200,353500,354500,353300,352500,351300,352900,356100,354600,353600,352500,351e3,352100,350800,353200,354700,355500,356300,356900,355300,357200,357100,359e3,359100,359400,359700,359900,359100,36e4,358600,358700,354800,359400,363300,371900,372900,373100,373400,371400,373700,373700,378200,379500,379800,379300,380800,383100,383300,383600,385300,387300,387500,385600,386800,388300,390300,388500,386100,388100,389e3,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,474700,462900,448400,437500,421800,407200,392200,379700,368200,356300,342e3,331400,325e3,321e3,320700,326600,334500,341e3,349100,356100,363900,366500,370800,368700,367200,362900,366900,364200,365700,360500,367100,365700,368900,364e3,360400,356700,354300,355200,352800,348600,347200,344600,344500,338500,338700,336600,337500,335400,335800,339900,342700,347900,354e3,362100,372e3,377600,387400,395200,398500,399700,404800,419500,433e3,442500,446500,449400,451900,454200,455300,455100,453300,455e3,454900,458700,462800,463800,466e3,466300,470500,474200,475300,476900,477700,484100,488900,494500,493600,497500,498800,502900,501e3,499600,501500,51e4,517200,518800,518300,521200,527200,529200,528700,530500,532700,531e3,529900,525500,528600,522100,527400,529200,538800,539900,541700,542200,549100,561200,579600,589e3,597100,599400,607e3,608300,612900,613700,615100,614200,618300,623100,630300,627900,629200,623200,627800,630400,631300,629800
394463,"Chicago, IL",3,254200,250700,236500,224400,222600,222500,226700,225300,222800,219200,213e3,210500,205900,201100,193300,187600,188200,191100,194300,196700,198700,198500,198e3,198900,196400,193300,186300,185800,183700,184400,181900,183400,186300,187100,185100,180600,176700,171400,165200,162600,165600,169400,170500,168500,165500,166100,162400,162e3,158900,159700,158500,162e3,164200,166500,165900,164600,165600,164100,164600,162400,161800,162e3,166100,172700,183400,188600,193500,194300,195500,195400,192800,194600,193400,192900,191200,193100,196600,200400,204600,205400,204300,201100,201400,201500,203100,204300,205500,204200,202400,195e3,191700,187600,187600,186e3,183900,183200,183500,185800,187100,188600,189800,192300,192100,193400,195800,200100,203200,205200,206e3,205600,204800,202800,200900,199500,199300,200800,203e3,205800,209200,213100,22e4,221500,22e4,217900,219300,219700,218600,219500,226400,224800,227800,232300,243800,245400,240600,232900
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199800,203100,203700,203600,201900,202100,203700,204600,205500,206e3,207100,208600,212700,216100,218800,219e3,218600,219600,219500,219500,220800,225100,229900,232200,232600,232300,231900,232700,234500,236800,238400,239600,241600,244700,246500,246500,245400,245700,247700,247400,249800,251500,254200,253100,251500,250400,250400,250700,251100,
394974,"Philadelphia, PA",5,211800,210500,206100,197800,194600,195100,197e3,197600,198500,196700,196400,196600,201100,200700,195e3,188300,185600,188900,190900,192800,194e3,197100,200100,202e3,203200,202800,197500,191400,188500,186200,187800,188200,192900,194600,199800,201500,199800,193600,184300,180800,179900,182300,181e3,179600,179700,182500,184e3,187400,187100,186900,184500,186100,186100,187500,182700,182900,185400,192400,195600,195100,193500,192400,190100,191200,193300,197600,196600,195800,194600,195e3,194800,193900,195900,194e3,192400,191e3,191e3,192400,193100,194800,194200,192300,191800,190300,191200,193e3,194600,194900,193200,192200,193200,193300,193300,189500,191900,197200,198200,195400,191100,193500,195300,195800,196100,194500,195500,198500,199e3,201600,200200,201900,201600,201600,201400,199500,197400,196e3,195700,199e3,199300,198400,198200,199300,201800,199500,198100,197500,198300,199700,202100,203800,206700,208800,213e3,217900,218500,221900
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181900,181600,184600,186100,188200,187e3,187800,189100,189600,190300,190200,190700,191600,191500,192200,189200,189200,188300,191200,192500,194100,192100,192200,193400,197700,201300,202300,203800,205400,207900,211500,212800,215100,215300,214600,215e3,214900,216700,216700,219300,220400,220800,218900,218e3,219400,220900,224200,224700,222700,220900,219600,222400,225400,229200,231500,226500,224200,223e3,226700,227900,230300
395209,"Washington, DC",7,357400,347300,331800,317700,312200,31e4,302300,294400,287200,281100,281400,278500,281600,275700,272900,273200,282200,296e3,303400,303500,301700,301300,301e3,297200,295100,298100,297e3,291600,292e3,284900,294400,291400,305700,305400,303800,301100,287600,279100,271e3,272600,285e3,294200,304800,297500,291e3,283900,285100,281500,290800,295700,308300,312700,320900,321600,32e4,317600,319400,318e3,319800,316100,324200,327e3,337700,341200,346600,347500,344e3,340800,339900,340200,341600,339200,341500,341200,350800,350900,354600,348e3,346900,346100,348600,351500,349800,349700,355500,357100,357200,349100,346800,344600,347200,349300,350100,346300,346800,349800,350500,351900,349700,351200,350500,352100,353700,357600,356500,357500,358300,359e3,36e4,359200,36e4,359500,360100,360500,362500,363100,365e3,367200,370400,373500,381100,383400,384300,378100,373900,373500,374800,376500,378100,377700,380800,384100,394e3,393400,393400,385100
394856,"Miami-Fort Lauderdale, FL",8,256500,247400,236100,228600,224200,221700,213800,206200,194900,187700,175700,167e3,157700,150600,142200,137600,138100,141300,143400,143400,143800,145100,145500,145200,145e3,143700,144e3,141700,137800,131800,126500,127900,130400,130500,123100,117800,114200,117500,120200,123600,127300,125700,124200,122900,124300,128100,130500,133e3,134100,136400,138400,141200,141e3,141300,142100,145300,147600,153e3,156100,159800,157700,159e3,163100,167600,170200,171300,173100,174300,176e3,177600,180600,178900,179600,178900,182600,185100,188e3,187400,187500,188e3,191600,194100,194800,195200,196900,199600,205700,208300,209900,207700,207400,208300,205600,206600,207600,215200,217100,220300,219500,220800,221300,222400,224900,228400,228900,23e4,229e3,233500,234500,238200,237e3,238100,236e3,238700,242100,245e3,245700,246700,250900,254100,257200,255800,255200,252900,250900,250600,250500,256400,259900,262700,261100,263600,268400,270500,268500,266700
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95200,95700,96e3,97900,96800,96900,96600,97300,98600,100800,104300,106900,109e3,110300,113700,117300,121400,123500,125900,127700,131900,136300,142100,143600,143400,141100,140200,140200,140400,140300,139300,140700,144900,150200,154500,155700,156800,156100,157900,159700,161800,162600,168200,171100,173400,170100,170200,170900,170900,171600,172700,174400,174800,174600,173600,173e3,171800,173700,174300,176200,176900,179400,179200,181100,181900,185900,186800,189300,189400,189700,188800,189900,191900,193400,195400,198400,203200,205100,206200,205500,205300,204200,201e3,203400,204500,208800,209900,212900,214500,214400,212600,212400,
