"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1513,0.0202292650033715,0.0298611111111111
394913,"New York, NY","Msa",1,2419,0.0049854590776901,0.0134736842105263
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2911,0.0264456981664316,0.0305232558139534
394463,"Chicago, IL","Msa",3,1755,0.0245183887915936,0.0464263897373243
394514,"Dallas-Fort Worth, TX","Msa",4,1714,0.0319084888621313,0.0413793103448277
394974,"Philadelphia, PA","Msa",5,1628,0.00867410161090465,0.0299936183790683
394692,"Houston, TX","Msa",6,1615,0.0170025188916876,0.0251775338928342
395209,"Washington, DC","Msa",7,2209,0.0109839816933639,0.0248592870544091
394856,"Miami-Fort Lauderdale, FL","Msa",8,1992,0.0278637770897834,0.0419354838709678
394347,"Atlanta, GA","Msa",9,1558,0.056271186440678,0.0581061692969871
394404,"Boston, MA","Msa",10,2504,0.0291820797369502,0.029623360135421
395057,"San Francisco, CA","Msa",11,3575,0.0314483554529716,0.0197116799058548
394532,"Detroit, MI","Msa",12,1254,0.0170316301703164,0.0326633165829147
395025,"Riverside, CA","Msa",13,2127,0.0545364402578086,0.0632577754348973
394976,"Phoenix, AZ","Msa",14,1577,0.0655405405405405,0.0842490842490842
395078,"Seattle, WA","Msa",15,2355,0.0424966799468791,0.0381433823529411
394865,"Minneapolis-St Paul, MN","Msa",16,1747,0.0210403272939801,0.0452046426389738
395056,"San Diego, CA","Msa",17,2788,0.0430228208005985,0.051948051948052
395121,"St. Louis, MO","Msa",18,1184,0.0128314798973481,0.0263388937664617
395148,"Tampa, FL","Msa",19,1560,0.0648464163822526,0.0547156227501799
394358,"Baltimore, MD","Msa",20,1766,0.0102974828375286,0.00459770114942537
394530,"Denver, CO","Msa",21,2262,0.0560224089635855,0.0433511933755479
394982,"Pittsburgh, PA","Msa",22,1119,0.00992779783393494,0.0240295748613679
394998,"Portland, OR","Msa",23,1973,0.0411609498680738,0.0326975476839237
394458,"Charlotte, NC","Msa",24,1410,0.036764705882353,0.0518174787316319
395045,"Sacramento, CA","Msa",25,2057,0.0625,0.0510314875135722
395055,"San Antonio, TX","Msa",26,1431,0.0309798270893371,0.04047976011994
394943,"Orlando, FL","Msa",27,1609,0.0353925353925353,0.0739460953697304
394466,"Cincinnati, OH","Msa",28,1351,0.0320855614973261,0.0266666666666666
394475,"Cleveland, OH","Msa",29,1190,0.0119047619047619,0.0315789473684212
394735,"Kansas City, MO","Msa",30,1345,0.027501909854851,0.0347826086956522
394775,"Las Vegas, NV","Msa",31,1558,0.0857142857142856,0.100460122699386
394492,"Columbus, OH","Msa",32,1416,0.0260869565217392,0.0337078651685394
394705,"Indianapolis, IN","Msa",33,1268,0.0192926045016077,0.040133779264214
395059,"San Jose, CA","Msa",34,3789,0.0492938244253669,0.0320091454701343
394355,"Austin, TX","Msa",35,1814,0.044329303396661,0.033313503866746
395194,"Virginia Beach, VA","Msa",36,1457,0.00552104899930983,0.0283889283179559
394902,"Nashville, TN","Msa",37,1582,0.0299479166666667,0.0308724832214766
395005,"Providence, RI","Msa",38,1691,0.00237107291049199,0.0107849011384062
394862,"Milwaukee, WI","Msa",39,1314,-0.00379075056861256,-0.0022692889561271
394714,"Jacksonville, FL","Msa",40,1478,0.0364656381486677,0.0657698056801195
394849,"Memphis, TN","Msa",41,1147,0.0204626334519573,0.0283623055809699
394935,"Oklahoma City, OK","Msa",42,1166,0.0318584070796459,0.0347985347985349
394807,"Louisville-Jefferson County, KY","Msa",43,1207,0.00667222685571311,0.0092592592592593
394669,"Hartford, CT","Msa",44,1587,0.00189393939393945,0.00827498408656901
395022,"Richmond, VA","Msa",45,1462,0.0188153310104529,0.0323741007194245
394910,"New Orleans, LA","Msa",46,1404,0.00214132762312635,0.0226277372262773
394425,"Buffalo, NY","Msa",47,1213,0.00413907284768222,0.00750625521267723
395012,"Raleigh, NC","Msa",48,1518,0.0215343203230147,0.0340988169798191
394388,"Birmingham, AL","Msa",49,1134,0.0179533213644525,0.0629770992366412
395053,"Salt Lake City, UT","Msa",50,1667,0.0290123456790123,0.0233733417561592
